idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
29,경기,29,Night residence,,홀리데이 하우스,,,대한민국 경기도 성남 분당구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK5731176?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
30,경기,30,Nearby Pangyo (Pangyo Techno Valley) Station,,홀리데이 하우스,,,대한민국 경기도 성남 분당구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK5873781?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
31,경기,31,별장촌,Pocheon Byeoljangchon Pension,홀리데이 하우스,,,내촌면 금강로 2519-3,,,,,,https://hotels.naver.com/KR1000278/hotels/N5284008?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
32,경기,32,포천 산정리조트,Pocheon Sanjeong Resort,홀리데이 하우스,,,경기도 포천시 영북면 산정호수로 704,6.9,,,,http://sanjungresort.com/,https://hotels.naver.com/KR1000278/hotels/KYK7881811?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
33,경기,33,Parrotia - water house package,,홀리데이 하우스,,,대한민국 경기도 가평,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7881786?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
34,경기,34,가평 풀빌라올리브 키즈풀빌라,Gapyeong Pool Villa Olive Kids Pool Villa,홀리데이 하우스,,,청평면 상지로 127,8,,,,http://olivee.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1072286528?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
35,경기,35,타이니 하우스,Tiny House,홀리데이 하우스,,,대한민국 경기도 가평,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7615706?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
36,경기,36,꿈의궁전 펜션,Gapyeong Kumegungjeon Pension,홀리데이 하우스,,0505-679-2918,상면 수목원로 300-44,,,,,http://dreamcastlepension.kr/,https://hotels.naver.com/KR1000278/hotels/N3643802?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
37,경기,37,미리내호숫가 마리네별장,Lakeside Mirinae Villa,홀리데이 하우스,,,미리내성지로 353,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK8309264?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
38,경기,38,"'Eat, Pray, Love' Spoon House",,홀리데이 하우스,,,대한민국 경기도 파주,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070187181?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
